議員,第1次定期會暨第1-4次臨時會,,,第1屆第2次定期會暨第5-6次臨時會,,,第3次定期會暨第7次臨時會,,,第1屆第8次臨時會,,,第1屆第4次定期大會,,,第1屆第5次定期大會,,,第1屆第6次定期大會,,
,出席,請假,曠職,出席,請假,曠職,出席,請假,曠職,出席,請假,曠職,出席,請假,曠職,出席,請假,曠職,出席,請假,曠職
賴美惠,73,0,0,72,0,0,58,0,0,10,0,0,47,2,0,44,4,0,49,0,0
張世賢,69,6,0,66,6,0,54,6,0,10,0,0,49,0,0,48,0,0,49,0,0
賴惠員,71,0,2,72,0,0,54,6,0,10,0,0,49,0,0,48,0,0,49,0,0
李退之,73,0,0,72,0,0,58,0,0,10,0,0,47,4,0,48,0,0,46,7,0
蔡育輝,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,48,0,0,0,0,0
趙昆原,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,47,1,0,49,0,0
侯澄財,73,0,0,72,0,0,58,0,0,10,0,0,0,0,0,48,0,0,49,0,0
謝財旺,66,9,0,72,0,0,52,6,0,10,0,0,49,0,0,42,6,0,49,0,0
郭秀珠,73,0,0,72,0,0,58,0,0,9,1,0,49,0,0,44,4,0,49,0,0
吳通龍,72,0,1,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
陳文賢,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
楊麗玉,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
蔡蘇秋金,73,0,0,72,0,0,58,0,0,10,0,0,0,0,0,48,0,0,49,0,0
陳朝來,66,2,5,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
蔡秋蘭,73,0,0,70,4,0,58,0,0,10,0,0,0,0,0,48,0,0,49,0,0
梁順發,72,5,0,66,8,0,54,6,0,10,0,0,44,5,0,42,6,0,43,9,0
李文俊,73,0,0,72,0,0,58,0,0,10,0,0,45,6,0,48,0,0,45,4,0
林志聰,72,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
林全忠,73,0,0,72,0,0,57,1,0,10,0,0,49,0,0,48,0,0,49,0,0
王峻潭,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
郭國文,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
李坤煌,73,0,0,71,1,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
林宜瑾,73,0,0,72,0,0,56,2,0,10,0,0,49,0,0,48,0,0,49,0,0
林燕祝,73,2,0,72,0,0,58,0,0,5,5,0,49,0,0,48,0,0,49,0,0
施重男,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
林慶鎮,67,0,6,68,4,0,58,0,0,0,0,0,0,0,0,48,0,0,49,0,0
陳秋萍,73,0,0,72,0,0,58,0,0,10,0,0,0,0,0,48,0,0,49,0,0
郭信良,73,0,0,72,0,0,57,1,0,10,0,0,0,0,0,44,4,0,48,1,0
郭清華,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
黃麗招,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
林炳利,73,0,0,72,0,0,58,0,0,10,0,0,48,3,0,47,1,0,49,0,0
王錦德,0,0,0,8,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
陳怡珍,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
謝龍介,72,0,1,72,0,0,58,0,0,10,0,0,46,3,0,47,1,0,46,4,0
唐碧娥,72,1,0,72,0,0,58,0,0,10,0,0,48,1,0,47,1,0,49,0,0
許至椿,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
邱莉莉,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
洪玉鳳,73,0,0,72,0,0,58,0,0,10,0,0,48,1,0,32,2,0,49,0,0
李文正,73,0,0,67,7,0,58,0,0,9,1,0,0,0,0,48,0,0,49,0,0
盧崑福,73,0,0,70,2,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
王定宇,70,0,3,72,0,0,49,11,0,10,0,0,0,0,0,48,0,0,49,0,0
曾順良,72,0,1,72,0,0,58,0,0,7,3,0,49,0,0,45,3,0,44,7,0
陳文科,73,0,0,72,0,0,53,7,0,10,0,0,49,0,0,48,0,0,49,0,0
蔡旺詮,73,0,0,66,6,0,57,1,0,10,0,0,49,0,0,45,3,0,49,0,0
陸美祈,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,37,11,0,49,0,0
曾培雅,73,0,0,72,0,0,58,0,0,6,4,0,49,0,0,47,1,0,49,0,0
莊玉珠,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
林美燕,73,0,0,70,4,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
蔡淑惠,73,0,0,72,0,0,56,2,0,10,0,0,46,3,0,46,2,0,47,2,0
陳進益,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
張伯祿,72,0,1,68,4,0,58,0,0,10,0,0,47,2,0,43,5,0,44,5,0
陳特清,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,46,2,0,49,0,0
杜素吟,73,0,0,72,0,0,53,6,0,10,0,0,0,0,0,48,0,0,49,0,0
曾王雅雲,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
蔡玉枝,73,0,0,72,0,0,58,0,0,10,0,0,49,0,0,48,0,0,49,0,0
谷暮．哈就,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,47,2,0
